hk_geb;uk_geb;TEK;
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Parlaments- und Gerichtsgebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Ministerien, Ämter und Behörden;
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Bürogebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Bürogebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Gebäude für öffentliche Bereitschaftsdienste;
Büro-, Verwaltungs- oder Amtsgebäude;Sonstige Gebäudefunktion;Verwaltungsgebäude (allgemein);
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Gebäude für Lehre;
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Hochschule und Forschung (allgemein);
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Institute für Lehre und Forschung;
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Institute für Lehre und Forschung;
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Hochschule und Forschung (allgemein);
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit geringen Anforderungen an die Raumlufttechnik);Gebäude für Forschung ohne Lehre;
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit hohen Anforderungen an die Raumlufttechnik);Laborgebäude;
Gebäude für Forschung und Hochschullehre;Sonstige Gebäudefunktion;Hochschule und Forschung (allgemein);
Gebäude für Gesundheit und Pflege;Hochschulklinik;Krankenhäuser (ohne Forschung und Lehre);
Gebäude für Gesundheit und Pflege;Krankenhaus;Krankenhäuser (ohne Forschung und Lehre);
Gebäude für Gesundheit und Pflege;Gebäude für teilstationäre Versorgung (z.B. Tagesklinik, Geburtshaus);Krankenhäuser (ohne Forschung und Lehre) und teilstationäre Versorgung;
Gebäude für Gesundheit und Pflege;Rehabilitation;Gebäude für Reha, Kur und Genesung;
Gebäude für Gesundheit und Pflege;Kur und Genesung;Gebäude für Reha, Kur und Genesung;
Gebäude für Gesundheit und Pflege;Medizinisches Versorgungszentrum, Ärztehaus;Medizinische Einrichtungen für nicht stationäre Versorgung;
