hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;gain_per_person_18599;gain_per_person_sia2024;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Einzel-, Gruppenbüro;3.1;70;70;2.8;7.1;15;3;7;15;7;18;7;18
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Einzel-, Gruppenbüro;3.1;70;70;2.8;7.1;15;3;7;15;7;18;7;18
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Einzel-, Gruppenbüro;3.1;70;70;2.8;7.1;15;3;7;15;7;18;7;18
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Einzel-, Gruppenbüro;3.1;70;70;2.8;7.1;15;3;7;15;7;18;7;18
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Hörsaal, Auditorium;9;Hörsaal;4.4;70;70;2;4;6;2;4;6;8;18;7;18
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Großraumbüro;3.2;70;70;2.8;7.1;15;4;10;19;7;18;7;18
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Labor;36;Laborraum;9.3;90;70;6;18;63;15;20;25;7;18;7;18
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Labor;36;Laborraum;9.3;90;70;6;18;63;15;20;25;7;18;7;18
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Gruppenbüro (2 bis 6 Arbeitsplätze);2;Einzel-, Gruppenbüro;3.1;70;70;2.8;7.1;15;3;7;15;7;18;7;18
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit geringen Anforderungen an die Raumlufttechnik);Labor;36;Laborraum;9.3;90;70;6;18;63;15;20;25;7;18;7;18
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit hohen Anforderungen an die Raumlufttechnik);Labor;36;Laborraum;9.3;90;70;6;18;63;15;20;25;7;18;7;18
Gebäude für Gesundheit und Pflege;Hochschulklinik;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;Bettenzimmer;8.1;70;70;2;4;6;2;4;6;0;24;0;24
Gebäude für Gesundheit und Pflege;Krankenhaus;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;Bettenzimmer;8.1;70;70;2;4;6;2;4;6;0;24;0;24
Gebäude für Gesundheit und Pflege;Gebäude für teilstationäre Versorgung (z.B. Tagesklinik, Geburtshaus);Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;Bettenzimmer;8.1;70;70;2;4;6;2;4;6;0;24;0;24
Gebäude für Gesundheit und Pflege;Rehabilitation;Fitnessraum (Untersuchungs- und Behandlungsräume);37;Fitnessraum;11.2;70;120;4;7;10;1;2;3;7;18;7;23
Gebäude für Gesundheit und Pflege;Kur und Genesung;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;Bettenzimmer;8.1;70;70;2;4;6;2;4;6;0;24;0;24
Gebäude für Gesundheit und Pflege;Medizinisches Versorgungszentrum, Ärztehaus;Arztpraxen und theratpeutische Praxen;40;Behandlungsraum;8.3;70;70;3;5;7;10;20;30;8;18;7;18
Gebäude für Gesundheit und Pflege;Arztpraxis;Arztpraxen und theratpeutische Praxen;40;Behandlungsraum;8.3;70;70;3;5;7;10;20;30;8;18;7;18
Gebäude für Gesundheit und Pflege;Notfallpraxis;Arztpraxen und theratpeutische Praxen;40;Behandlungsraum;8.3;70;70;3;5;7;10;20;30;8;18;7;18
