hk_geb;uk_geb;schedule_name
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Bueros_SchalterhalleEmpfang
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Bueros_SchalterhalleEmpfang
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Bueros_SchalterhalleEmpfang
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Bueros_SchalterhalleEmpfang
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Bueros_SchalterhalleEmpfang
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Schulzimmer_Hoersaal
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Bueros_SchalterhalleEmpfang
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Schulzimmer_Hoersaal
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Schulzimmer_Hoersaal
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Schulzimmer_Hoersaal
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit geringen Anforderungen an die Raumlufttechnik);Laborraum
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit hohen Anforderungen an die Raumlufttechnik);Laborraum
Gebäude für Gesundheit und Pflege;Hochschulklinik;Krankenhausmix
Gebäude für Gesundheit und Pflege;Krankenhaus;Krankenhausmix
Gebäude für Gesundheit und Pflege;Gebäude für teilstationäre Versorgung (z.B. Tagesklinik, Geburtshaus);Bueros_SchalterhalleEmpfang
Gebäude für Gesundheit und Pflege;Rehabilitation;Stationszimmer
Gebäude für Gesundheit und Pflege;Kur und Genesung;Stationszimmer
Gebäude für Gesundheit und Pflege;Medizinisches Versorgungszentrum, Ärztehaus;Behandlungsraum
Gebäude für Gesundheit und Pflege;Arztpraxis;Behandlungsraum
Gebäude für Gesundheit und Pflege;Notfallpraxis;Behandlungsraum
Gebäude für Gesundheit und Pflege;Altenheim/Altenpflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Stationszimmer
Gebäude für Gesundheit und Pflege;Pflegeheim für Behinderte (ohne eigene Haushaltsführung der Bewohner/innen);Stationszimmer
Gebäude für Gesundheit und Pflege;Psychiatrische Pflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Stationszimmer
Gebäude für Gesundheit und Pflege;Tagespflegeeinrichtung;Stationszimmer
Gebäude für Gesundheit und Pflege;Hospiz;Stationszimmer
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Schule, allgemein;Schulzimmer_Hoersaal
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ganztagesschule;Schulzimmer_Hoersaal
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Internatsschule;Wohnen
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Förder-, Sonderschule;Schulzimmer_Hoersaal
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (gewerblich, wirtschaftlich);Schulzimmer_Hoersaal
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (mit höherer technischer Ausstattung, z.B. Werkstätten);Schulzimmer_Hoersaal
