city;state-prov;data_type;WMO_code;latitude;longitude;altitude;filename
Holzdorf AB;BB;SRC-TMYx;104760;51.7658;13.1667;101.6;DEU_BB_Holzdorf.AB.104760_TMYx.2007-2021.epw
Berlin Schonefeld AP;BE;SRC-TMYx;103850;52.3808;13.5306;50.3;DEU_BE_Berlin-Schonefeld.AP.103850_TMYx.2007-2021.epw
Berlin Tegel AP;BE;SRC-TMYx;103820;52.5644;13.3089;36.8;DEU_BE_Berlin-Tegel.AP.103820_TMYx.2007-2021.epw
Friedrichshafen AP;BW;SRC-TMYx;109350;47.671;9.511;416.7;DEU_BW_Friedrichshafen.AP.109350_TMYx.2007-2021.epw
Karlsruhe Baden Baden AP;BW;SRC-TMYx;107275;48.779;8.081;124.4;DEU_BW_Karlsruhe-Baden-Baden.AP.107275_TMYx.2007-2021.epw
Lahr Schwarzwald AP;BW;SRC-TMYx;108050;48.3647;7.8281;156.9;DEU_BW_Lahr-Schwarzwald.AP.108050_TMYx.2007-2021.epw
Laupheim AB;BW;SRC-TMYx;108370;48.2175;9.9097;549.8;DEU_BW_Laupheim.AB.108370_TMYx.2007-2021.epw
Lechfeld AB;BW;SRC-TMYx;108560;48.185;10.8508;562;DEU_BW_Lechfeld.AB.108560_TMYx.2007-2021.epw
Mannheim;BW;SRC-TMYx;107290;49.5061;8.5583;99.4;DEU_BW_Mannheim.107290_TMYx.2007-2021.epw
Messstetten;BW;SRC-TMYx;108270;48.1694;8.9433;920;DEU_BW_Messstetten.108270_TMYx.2007-2021.epw
Niederstetten AP;BW;SRC-TMYx;107430;49.3895;9.9667;472.8;DEU_BW_Niederstetten.AP.107430_TMYx.2007-2021.epw
Penzing AB;BW;SRC-TMYx;108570;48.0772;10.9144;627.7;DEU_BW_Penzing.AB.108570_TMYx.2007-2021.epw
Stuttgart AP;BW;SRC-TMYx;107380;48.6883;9.2236;391.6;DEU_BW_Stuttgart.AP.107380_TMYx.2007-2021.epw
Altenstadt AP;BY;SRC-TMYx;109540;47.8342;10.8667;756.7;DEU_BY_Altenstadt.AP.109540_TMYx.2007-2021.epw
Ansbach Katterbach AB;BY;SRC-TMYx;107550;49.308;10.639;467;DEU_BY_Ansbach.Katterbach.AB.107550_TMYx.2007-2021.epw
Augsburg AP;BY;SRC-TMYx;108520;48.4253;10.9419;476.7;DEU_BY_Augsburg.AP.108520_TMYx.2007-2021.epw
Feldkirchen Mitterhausen AF;BY;SRC-TMYx;107880;48.8275;12.5597;359.4;DEU_BY_Feldkirchen-Mitterhausen.AF.107880_TMYx.2007-2021.epw
Furstenzell;BY;SRC-TMYx;108950;48.5453;13.3531;479.9;DEU_BY_Furstenzell.108950_TMYx.2007-2021.epw
Grafenwohr AB;BY;SRC-TMYx;106870;49.699;11.94;415.4;DEU_BY_Grafenwohr.AB.106870_TMYx.2007-2021.epw
Hof;BY;SRC-TMYx;106850;50.3122;11.8761;566.8;DEU_BY_Hof.106850_TMYx.2007-2021.epw
Hohenfels AB;BY;SRC-TMYx;107750;49.217;11.833;443.5;DEU_BY_Hohenfels.AB.107750_TMYx.2007-2021.epw
Illesheim AB;BY;SRC-TMYx;107520;49.474;10.388;328.6;DEU_BY_Illesheim.AB.107520_TMYx.2007-2021.epw
Ingolstadt Manching AF;BY;SRC-TMYx;108600;48.7111;11.5361;366;DEU_BY_Ingolstadt.Manching.AF.108600_TMYx.2007-2021.epw
Kummersbruck;BY;SRC-TMYx;107710;49.4283;11.9017;418.1;DEU_BY_Kummersbruck.107710_TMYx.2007-2021.epw
Memmingen Allgau AP;BY;SRC-TMYx;109470;47.989;10.24;629.1;DEU_BY_Memmingen-Allgau.AP.109470_TMYx.2007-2021.epw
Munich AP;BY;SRC-TMYx;108700;48.35;11.783;448;DEU_BY_Munich.AP.108700_TMYx.2007-2021.epw
Neuburg AB;BY;SRC-TMYx;108530;48.7097;11.2097;387.3;DEU_BY_Neuburg.AB.108530_TMYx.2007-2021.epw
Nurnberg AP;BY;SRC-TMYx;107630;49.5031;11.055;317.6;DEU_BY_Nurnberg.AP.107630_TMYx.2007-2021.epw
Oberpfaffenhofen AB;BY;SRC-TMYx;108644;48.081;11.283;593.4;DEU_BY_Oberpfaffenhofen.AB.108644_TMYx.2007-2021.epw
Roth AP;BY;SRC-TMYx;107650;49.2164;11.1036;387;DEU_BY_Roth.AP.107650_TMYx.2007-2021.epw
Bremen AP;HB;SRC-TMYx;102240;53.045;8.7978;5.2;DEU_HB_Bremen.AP.102240_TMYx.2007-2021.epw
Diepholz Dummerland AP;HB;SRC-TMYx;103210;52.5881;8.3425;43.1;DEU_HB_Diepholz.Dummerland.AP.103210_TMYx.2007-2021.epw
Frankfurt AP;HE;SRC-TMYx;106370;50.0258;8.5214;104.1;DEU_HE_Frankfurt.AP.106370_TMYx.2007-2021.epw
Fritzlar AB;HE;SRC-TMYx;104390;51.1189;9.28;181.4;DEU_HE_Fritzlar.AB.104390_TMYx.2007-2021.epw
Kassel Calden AP;HE;SRC-TMYx;104360;51.408;9.378;276.8;DEU_HE_Kassel.Calden.AP.104360_TMYx.2007-2021.epw
Wiesbaden AB;HE;SRC-TMYx;106330;50.05;8.325;140.5;DEU_HE_Wiesbaden.AB.106330_TMYx.2007-2021.epw
Hamburg Schmidt AP;HH;SRC-TMYx;101470;53.633;9.9881;15;DEU_HH_Hamburg-Schmidt.AP.101470_TMYx.2007-2021.epw
Greifswalder Oie;MV;SRC-TMYx;100970;54.2436;13.9103;11.2;DEU_MV_Greifswalder.Oie.100970_TMYx.2007-2021.epw
Heringsdorf AP;MV;SRC-TMYx;101920;53.879;14.152;28.3;DEU_MV_Heringsdorf.AP.101920_TMYx.2007-2021.epw
Neubrandenburg Trollenhagen AP;MV;SRC-TMYx;102810;53.5997;13.3039;92.8;DEU_MV_Neubrandenburg.Trollenhagen.AP.102810_TMYx.2007-2021.epw
Rostock Laage AP;MV;SRC-TMYx;101720;53.9156;12.2789;59;DEU_MV_Rostock-Laage.AP.101720_TMYx.2007-2021.epw
Schwerin Parchim AP;MV;SRC-TMYx;101624;53.427;11.783;50.6;DEU_MV_Schwerin-Parchim.AP.101624_TMYx.2007-2021.epw
Waren;MV;SRC-TMYx;102680;53.5197;12.6653;65.3;DEU_MV_Waren.102680_TMYx.2007-2021.epw
Bergen;NI;SRC-TMYx;102380;52.8153;9.9247;77.4;DEU_NI_Bergen.102380_TMYx.2007-2021.epw
Braunschweig Wolfsburg AP;NI;SRC-TMYx;103480;52.319;10.556;89.9;DEU_NI_Braunschweig.103480_TMYx.2007-2021.epw
Celle AP;NI;SRC-TMYx;103430;52.5958;10.0294;52.6;DEU_NI_Celle.AP.103430_TMYx.2007-2021.epw
Cuxhaven Nordholz AP;NI;SRC-TMYx;101360;53.7647;8.6583;32.5;DEU_NI_Cuxhaven.Nordholz.AP.101360_TMYx.2007-2021.epw
Emden AP;NI;SRC-TMYx;102000;53.3881;7.2286;-1.6;DEU_NI_Emden.AP.102000_TMYx.2007-2021.epw
Fassberg AB;NI;SRC-TMYx;102460;52.9156;10.1886;87.9;DEU_NI_Fassberg.AB.102460_TMYx.2007-2021.epw
Hannover AP;NI;SRC-TMYx;103380;52.4645;9.6781;59.4;DEU_NI_Hannover.AP.103380_TMYx.2007-2021.epw
Landeplatz Meppen AP;NI;SRC-TMYx;103040;52.7156;7.3175;41.1;DEU_NI_Landeplatz.Meppen.AP.103040_TMYx.2007-2021.epw
Oldenburg;NI;SRC-TMYx;102150;53.183;8.167;20;DEU_NI_Oldenburg.102150_TMYx.2007-2021.epw
Wittmundhafen AB;NI;SRC-TMYx;101260;53.5503;7.6672;11.8;DEU_NI_Wittmundhafen.AB.101260_TMYx.2007-2021.epw
Wunstorf AB;NI;SRC-TMYx;103340;52.4606;9.4311;69.2;DEU_NI_Wunstorf.AB.103340_TMYx.2007-2021.epw
Achum Buckeburg AB;NW;SRC-TMYx;103350;52.2817;9.0889;76.6;DEU_NW_Achum.Buckeburg.AB.103350_TMYx.2007-2021.epw
Bonn Roleber;NW;SRC-TMYx;105190;50.735;7.1931;160.4;DEU_NW_Bonn.Roleber.105190_TMYx.2007-2021.epw
Dortmund AP;NW;SRC-TMYx;104160;51.518;7.612;129.5;DEU_NW_Dortmund.AP.104160_TMYx.2007-2021.epw
Dusseldorf AP;NW;SRC-TMYx;104000;51.2958;6.7686;40.6;DEU_NW_Dusseldorf.AP.104000_TMYx.2007-2021.epw
Gutersloh AP;NW;SRC-TMYx;103200;51.923;8.306;71.9;DEU_NW_Gutersloh.AP.103200_TMYx.2007-2021.epw
Kalkar;NW;SRC-TMYx;104040;51.75;6.283;43;DEU_NW_Kalkar.104040_TMYx.2007-2021.epw
Koln Bonn AP;NW;SRC-TMYx;105130;50.8644;7.1575;99.5;DEU_NW_Koln.Bonn.AP.105130_TMYx.2007-2021.epw
Luedenscheid;NW;SRC-TMYx;104180;51.2453;7.6425;389.4;DEU_NW_Luedenscheid.104180_TMYx.2007-2021.epw
Monchengladbach AP;NW;SRC-TMYx;104374;51.23;6.504;38.1;DEU_NW_Monchengladbach.AP.104374_TMYx.2007-2021.epw
Munster Osnabruck AP;NW;SRC-TMYx;103150;52.1344;7.6969;52.7;DEU_NW_Munster.Osnabruck.AP.103150_TMYx.2007-2021.epw
